 mvladk/dp2012/,https://raw.githubusercontent.com/mvladk/dp2012/master/Finished Exercises/C12 Ex02 YuliaSinenko 314440009 VladimirKarpov 319512893/diagramms/AdapterClassDiagram.png
 mvladk/dp2012/,https://raw.githubusercontent.com/mvladk/dp2012/master/Finished Exercises/C12 Ex03 YuliaSinenko 314440009 VladimirKarpov 319512893/diagramms/AdapterClassDiagram.png
 mvladk/dp2012/,https://raw.githubusercontent.com/mvladk/dp2012/master/Finished Exercises/checked/C12 Ex02 YuliaSinenko 314440009 VladimirKarpov 319512893/diagramms/AdapterClassDiagram.png
 stigglePogletX/Address_Book_Capstone/,https://raw.githubusercontent.com/stigglePogletX/Address_Book_Capstone/master/CapstoneProject/src/AddressBookUML 2.jpg
 stigglePogletX/Address_Book_Capstone/,https://raw.githubusercontent.com/stigglePogletX/Address_Book_Capstone/master/CapstoneProject/src/AddressBookUML.jpg
 matto1990/naturally-stupid/,https://raw.githubusercontent.com/matto1990/naturally-stupid/master/Agent/doc/Agent-2.class.uml.png
 4dnucleome/cog-abm/,https://raw.githubusercontent.com/4dnucleome/cog-abm/master/AgentClassDiagram.png
 4dnucleome/cog-abm/,https://raw.githubusercontent.com/4dnucleome/cog-abm/master/doc/AgentClassDiagram.png
 ntartania/UP2P/,https://raw.githubusercontent.com/ntartania/UP2P/master/up2p/docs/src/DeveloperGuide/diagrams/AgentDefXSDdiagram3.png
 AlloSphere-Research-Group/AlloSystem/,https://raw.githubusercontent.com/AlloSphere-Research-Group/AlloSystem/master/doc/documents/AlloCoreDesign.jpg
 Timon87/husacct/,https://raw.githubusercontent.com/Timon87/husacct/master/doc/analyse/Design Drawings/Class Diagrams/Analyse Class Diagram.png
 LinkeTony/HUSACCT-Tool-2012-Project/,https://raw.githubusercontent.com/LinkeTony/HUSACCT-Tool-2012-Project/master/doc/analyse/Design Drawings/Class Diagrams/Analyse Class Diagram.png
 dkartaschew/SolarCalculatorAndroid/,https://raw.githubusercontent.com/dkartaschew/SolarCalculatorAndroid/master/Documentation/Diagrams/AndroidSolarCalculatorServiceDiagram.jpg
 spring-projects/spring-net-amqp/,https://raw.githubusercontent.com/spring-projects/spring-net-amqp/master/doc/reference/src/images/aop-uml.gif
 outsideris/learning-spring/,https://raw.githubusercontent.com/outsideris/learning-spring/master/spring-framework-reference-kr/images/aop-uml.gif
 outsideris/learning-spring/,https://raw.githubusercontent.com/outsideris/learning-spring/master/spring-framework-reference/images/aop-uml.gif
 mperdikeas/playground/,https://raw.githubusercontent.com/mperdikeas/playground/master/spring/spring-framework-2.5.6/docs/reference/html_single/images/aop-uml.gif
 wjw465150/Pro-Git-Chinese/,https://raw.githubusercontent.com/wjw465150/Pro-Git-Chinese/master/images/aop-uml.gif
 spring-projects/spring-net-codeconfig/,https://raw.githubusercontent.com/spring-projects/spring-net-codeconfig/master/doc/reference/src/images/aop-uml.gif
 JamesKovacs/nhcontrib/,https://raw.githubusercontent.com/JamesKovacs/nhcontrib/master/sandbox/simondud/Envers.NET.Spring/Spring.NET/doc/reference/html/images/aop-uml.gif
 spring-projects/spring-framework/,https://raw.githubusercontent.com/spring-projects/spring-framework/master/src/asciidoc/images/aop-uml.gif
 spring-projects/spring-net/,https://raw.githubusercontent.com/spring-projects/spring-net/master/doc/reference/src/images/aop-uml.gif
 fujohnwang/fujohnwang.github.com/,https://raw.githubusercontent.com/fujohnwang/fujohnwang.github.com/master/posts/images/api-design-flow.png
 easysoa/EasySOA-Incubation/,https://raw.githubusercontent.com/easysoa/EasySOA-Incubation/master/node/mocks/unifiedapi/api-diagram-simple.png
 easysoa/EasySOA-Incubation/,https://raw.githubusercontent.com/easysoa/EasySOA-Incubation/master/node/mocks/unifiedapi/api-diagram.png
 holbrook/holbrook.github.io/,https://raw.githubusercontent.com/holbrook/holbrook.github.io/master/slides/images/app_architecture_aas.png
 tonyrog/canopen/,https://raw.githubusercontent.com/tonyrog/canopen/master/doc/app_seq_diagram.png
 qos-ch/logback/,https://raw.githubusercontent.com/qos-ch/logback/master/logback-site/src/site/resources/manual/images/chapters/appenders/appenderClassDiagram.jpg
 FilipBE/qtextended/,https://raw.githubusercontent.com/FilipBE/qtextended/master/doc/html/images/ApplicationControlTasks_UML.png
 jacksonicson/twospot/,https://raw.githubusercontent.com/jacksonicson/twospot/master/docs/illustrations/architecture-08.jpg
 jacksonicson/twospot/,https://raw.githubusercontent.com/jacksonicson/twospot/master/docs/illustrations/architecture-12.jpg
 jacksonicson/twospot/,https://raw.githubusercontent.com/jacksonicson/twospot/master/docs/illustrations/architecture-20.jpg
 jacksonicson/twospot/,https://raw.githubusercontent.com/jacksonicson/twospot/master/docs/illustrations/architecture-25.jpg
 jacksonicson/twospot/,https://raw.githubusercontent.com/jacksonicson/twospot/master/docs/illustrations/architecture-30.jpg
 kaige/Rena/,https://raw.githubusercontent.com/kaige/Rena/master/Documents/architecture-design.jpeg
 ServiceStack/ServiceStack/,https://raw.githubusercontent.com/ServiceStack/ServiceStack/master/tests/ServiceStack.Razor.BuildTask.IntegrationTests/img/architecture-htmlformat.png
 ServiceStackApps/RazorRockstars/,https://raw.githubusercontent.com/ServiceStackApps/RazorRockstars/master/src/RazorRockstars.CompiledViews/img/architecture-htmlformat.png
 ServiceStackApps/RazorRockstars/,https://raw.githubusercontent.com/ServiceStackApps/RazorRockstars/master/src/RazorRockstars.SelfHost/img/architecture-htmlformat.png
